ph,k,na,mg,ca,cl,f,sio2,temp
8.5,6.3,91,3.8,7.4,13,0.7,54,91.1
7.8,4.2,93,12,53,25,0.7,32,67.8
7.4,230,12000,1200,300,17000,0.7,38,75.1
8.2,9,320,19,80,160,0.7,34,70.3
9.1,7.4,194,0.537,1.7,87.8,0.7,30.2,65.4
7.8,0.9,100,38,59,98,0.7,38,75.1
7.2,84,9400,2200,1400,20000,0.7,48,85.6
7.3,630,26000,1300,460,32000,0.7,33,69.1
7.4,8.4,320,21,84,76,0.7,29,63.7
7.6,170,10000,800,250,11000,0.7,33,69.1
8.8,6.1,25,7.4,28,6.5,0.7,48,85.6
9,3.7,150,0.18,1.5,29,0.7,36,72.8
9.1,7.4,196,0.529,1.6,87.6,0.7,30,65.1
8.7,11,210,1.4,2.3,13,0.7,35,71.5
9.3,3.2,160,0.18,1,55,0.7,24,56.2
7.9,3.5,27.1,0.922,10.3,5.2,0.71,53,90.2
7.4,2.8,64,2.99,11.3,14.1,0.71,65.1,100.3
7.4,40,482,25,61,720,0.72,141,143.5
8.2,13,57,0.924,15,12,0.738,108,127.5
8,6,175,1.5,16,31,0.75,58,94.6
7.8,16.3,136,28.8,58.7,109,0.76,77,108.9
7.9,2.4,51,2.5,74,14,0.8,30,65.1
7.8,60,840,32,42,1300,0.8,36,72.8
7.3,3.7,49,58,160,110,0.8,26,59.3
8,2,45,9.6,27,7.7,0.8,35,71.5
7.6,7.6,15.1,17.6,34.6,7.2,0.8,25.8,59
8,9.3,120,9.5,43,31,0.8,42,79.5
6.3,9,251,2.15,8.5,265,0.8,19.7,48.6
7.7,19,260,18,110,140,0.8,27,60.8
8.6,5.2,93.9,0.133,1.6,8,0.8,50.8,88.2
9.2,7.8,219,0.518,1.3,109,0.8,25.9,59.2
9.2,8.4,222,0.525,1.3,109,0.8,25.5,58.5
8.1,4.7,139,0.3,5.2,20,0.81,85,114.1
8.5,18.7,882,23.4,9.7,765,0.879,82.8,112.7
7,33,406,1,32,450,0.89,109,128
7.8,4.2,95,4.5,17,12,0.9,32,67.8
7.5,8.1,39,28,54,31,0.9,25,57.8
7.4,11,120,52,120,240,0.9,23,54.5
7.6,1.7,27,11,41,15,0.9,52,89.3
8.2,120,1500,580,460,1500,0.9,15,38.8
7.4,32,300,240,510,280,0.9,62,97.8
8,11,416,5.2,32,59,0.9,39,76.2
7.4,12,130,43,99,270,0.9,29,63.7
7.8,16,157,14,85,20,0.9,67,101.7
7.6,7.9,120,12,51,54,0.9,36,72.8
7.8,10,130,32,66,200,0.9,29,63.7
7.8,17,440,18,53,170,0.9,56,92.9
8,1,40.6,1.19,34.8,11.5,0.9,37.6,74.6
7.9,5,79,4,51,14,0.9,21,51
9.3,6.7,195,0.363,1.6,90.8,0.9,27.6,61.7
9.2,7.9,232,0.796,1.7,130,0.9,24.7,57.3
9.2,7.6,209,0.61,1.5,101,0.9,26.5,60.1
9.2,7.9,240,0.531,1.2,123,0.9,24.2,56.5
9.3,6.9,200,0.379,1.1,94.9,0.9,26.5,60.1
7.7,0.7,16,0.21,5.3,1.2,0.9,19,47.3
7.4,18,186,8,28,195,0.96,96,120.8
7.7,7.8,68,19,36,20,0.98,18,45.3
7.1,245,2050,0.67,91,3500,0.98,290,194
7.7,5.3,46,0.47,7.7,6.5,1,51,88.4
7.5,9.6,39,13,54,35,1,57,93.7
7.6,10,200,11,41,33,1,42,79.5
8.5,6,181,2.06,4.6,94.9,1,57.3,94
8.1,8.3,39.7,1.16,22.6,7,1,76.5,108.5
7.8,14,400,28,100,170,1,56,92.9
7.9,8.8,75,6,25,16,1,82,112.2
5.7,232,2000,0.4,109,3400,1,284,192.3
7.7,12,110,19,74,92,1,58,94.6
7.5,5.8,190,14,47,110,1,33,69.1
9.1,2.4,130,0.02,0.3,6.8,1,33,69.1
8.1,11.3,72.2,35,55.5,39.2,1,41.1,78.5
9,2.5,120,0.01,0.2,6.5,1,34,70.3
8,9.5,150,9.2,45,97,1,49,86.5
9.3,6.4,197,0.313,0.9,77.8,1,25.4,58.4
